2026-04-11 02:48:16 | DEBUG    | engine.backtester                   | Backtester.run — rows: 756 | cash: 10000.00 | commission: 0.0010 | slippage: 0.0010
2026-04-11 02:48:16 | DEBUG    | engine.backtester                   | Backtester.run complete — final equity: 9489.82 | return: -5.10% | trades: 62 | total cost: 0.1240
2026-04-11 02:48:16 | DEBUG    | engine.backtester                   | Backtester.run — rows: 756 | cash: 10000.00 | commission: 0.0010 | slippage: 0.0010
2026-04-11 02:48:16 | DEBUG    | engine.backtester                   | Backtester.run complete — final equity: 9489.82 | return: -5.10% | trades: 62 | total cost: 0.1240
2026-04-11 02:48:16 | DEBUG    | engine.backtester                   | Backtester.run — rows: 756 | cash: 10000.00 | commission: 0.0010 | slippage: 0.0010
2026-04-11 02:48:16 | DEBUG    | engine.backtester                   | Backtester.run complete — final equity: 9489.82 | return: -5.10% | trades: 62 | total cost: 0.1240
2026-04-11 02:48:16 | DEBUG    | engine.backtester                   | Backtester.run — rows: 756 | cash: 10000.00 | commission: 0.0010 | slippage: 0.0010
2026-04-11 02:48:16 | DEBUG    | engine.backtester                   | Backtester.run complete — final equity: 9489.82 | return: -5.10% | trades: 62 | total cost: 0.1240
2026-04-11 02:48:16 | DEBUG    | engine.backtester                   | Backtester.run — rows: 756 | cash: 10000.00 | commission: 0.0010 | slippage: 0.0010
2026-04-11 02:48:16 | DEBUG    | engine.backtester                   | Backtester.run complete — final equity: 9489.82 | return: -5.10% | trades: 62 | total cost: 0.1240
2026-04-11 02:48:16 | DEBUG    | engine.backtester                   | Backtester.run — rows: 756 | cash: 10000.00 | commission: 0.0010 | slippage: 0.0010
2026-04-11 02:48:16 | DEBUG    | engine.backtester                   | Backtester.run complete — final equity: 9489.82 | return: -5.10% | trades: 62 | total cost: 0.1240
2026-04-11 02:48:16 | DEBUG    | engine.backtester                   | Backtester.run — rows: 756 | cash: 10000.00 | commission: 0.0010 | slippage: 0.0010
2026-04-11 02:48:16 | DEBUG    | engine.backtester                   | Backtester.run complete — final equity: 9044.58 | return: -9.55% | trades: 68 | total cost: 0.1360
2026-04-11 02:48:16 | DEBUG    | engine.backtester                   | Backtester.run — rows: 756 | cash: 10000.00 | commission: 0.0010 | slippage: 0.0010
2026-04-11 02:48:16 | DEBUG    | engine.backtester                   | Backtester.run complete — final equity: 9044.58 | return: -9.55% | trades: 68 | total cost: 0.1360
2026-04-11 02:48:16 | DEBUG    | engine.backtester                   | Backtester.run — rows: 756 | cash: 10000.00 | commission: 0.0010 | slippage: 0.0010
2026-04-11 02:48:16 | DEBUG    | engine.backtester                   | Backtester.run complete — final equity: 9044.58 | return: -9.55% | trades: 68 | total cost: 0.1360
2026-04-11 02:48:16 | DEBUG    | engine.backtester                   | Backtester.run — rows: 756 | cash: 10000.00 | commission: 0.0010 | slippage: 0.0010
2026-04-11 02:48:16 | DEBUG    | engine.backtester                   | Backtester.run complete — final equity: 9044.58 | return: -9.55% | trades: 68 | total cost: 0.1360
2026-04-11 02:48:16 | DEBUG    | engine.backtester                   | Backtester.run — rows: 756 | cash: 10000.00 | commission: 0.0010 | slippage: 0.0010
2026-04-11 02:48:16 | DEBUG    | engine.backtester                   | Backtester.run complete — final equity: 9044.58 | return: -9.55% | trades: 68 | total cost: 0.1360
2026-04-11 02:48:16 | DEBUG    | engine.backtester                   | Backtester.run — rows: 756 | cash: 10000.00 | commission: 0.0010 | slippage: 0.0010
2026-04-11 02:48:16 | DEBUG    | engine.backtester                   | Backtester.run complete — final equity: 9044.58 | return: -9.55% | trades: 68 | total cost: 0.1360
2026-04-11 02:48:16 | DEBUG    | engine.backtester                   | Backtester.run — rows: 756 | cash: 10000.00 | commission: 0.0010 | slippage: 0.0010
2026-04-11 02:48:16 | DEBUG    | engine.backtester                   | Backtester.run complete — final equity: 9044.58 | return: -9.55% | trades: 68 | total cost: 0.1360
2026-04-11 02:48:16 | DEBUG    | engine.backtester                   | Backtester.run — rows: 756 | cash: 10000.00 | commission: 0.0010 | slippage: 0.0010
2026-04-11 02:48:16 | DEBUG    | engine.backtester                   | Backtester.run complete — final equity: 9022.80 | return: -9.77% | trades: 72 | total cost: 0.1440
2026-04-11 02:48:16 | DEBUG    | engine.backtester                   | Backtester.run — rows: 756 | cash: 10000.00 | commission: 0.0010 | slippage: 0.0010
2026-04-11 02:48:16 | DEBUG    | engine.backtester                   | Backtester.run complete — final equity: 9022.80 | return: -9.77% | trades: 72 | total cost: 0.1440
2026-04-11 02:48:16 | DEBUG    | engine.backtester                   | Backtester.run — rows: 756 | cash: 10000.00 | commission: 0.0010 | slippage: 0.0010
2026-04-11 02:48:16 | DEBUG    | engine.backtester                   | Backtester.run complete — final equity: 9022.80 | return: -9.77% | trades: 72 | total cost: 0.1440
2026-04-11 02:48:16 | DEBUG    | engine.backtester                   | Backtester.run — rows: 756 | cash: 10000.00 | commission: 0.0010 | slippage: 0.0010
2026-04-11 02:48:16 | DEBUG    | engine.backtester                   | Backtester.run complete — final equity: 9022.80 | return: -9.77% | trades: 72 | total cost: 0.1440
2026-04-11 02:48:16 | DEBUG    | engine.backtester                   | Backtester.run — rows: 756 | cash: 10000.00 | commission: 0.0010 | slippage: 0.0010
2026-04-11 02:48:16 | DEBUG    | engine.backtester                   | Backtester.run complete — final equity: 9022.80 | return: -9.77% | trades: 72 | total cost: 0.1440
2026-04-11 02:48:16 | DEBUG    | engine.backtester                   | Backtester.run — rows: 756 | cash: 10000.00 | commission: 0.0010 | slippage: 0.0010
2026-04-11 02:48:16 | DEBUG    | engine.backtester                   | Backtester.run complete — final equity: 9022.80 | return: -9.77% | trades: 72 | total cost: 0.1440
2026-04-11 02:48:16 | DEBUG    | engine.backtester                   | Backtester.run — rows: 756 | cash: 10000.00 | commission: 0.0010 | slippage: 0.0010
